s0,genre,human_ans,Paraphrase T5,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart,Paraphrase Bart E1,Paraphrase Bart E3;;;;
Latest corporate unbundler reveals laid-back *approach*: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane,NEWS,['direction' 'method' 'plan' 'view' 'attitude'],<extra_id_0> : Latest corporate unbundler reveals laid-back *approach*: Roland Franklin,enthusiasm,approval,Paraphrase the highlighted word: Latest corporate unbundler reveals laid-back approach :,approach,attention;;;;
Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is *leading* a 697m pound break-up bid for DRG, talks to Frank Kane,NEWS,['winning' 'fronting' 'directing' 'dominating'],<extra_id_0> : Latest corporate unbundler reveals laid-back approach: Roland Franklin talks to Frank,preparing,preparing,Paraphrase the highlighted word: Latest corporate unbundler reveals laid-back approach:,making,making;;;;
"IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a *fatal* error in the preparation of his £697m break-up bid for stationery and packaging group DRG.,NEWS,['deadly' 'vital' 'catastrophic' 'terminal'],""Paraphrase the highlighted word: IT SEEMS that Roland Franklin, the latest unbundler to"",fatal,huge,""Paraphrase the highlighted word: IT SEEMS that Roland Franklin, the latest unbund"",sound,seems";;;;
"The 63-year-old head of Pembridge Investments, through which the bid is being mounted says, ‘rule number one in this business is: the more luxurious the luncheon rooms at *headquarters*, the more inefficient the business’.,NEWS,['base' 'head-office' 'main-office' 'depot' 'HQ'],""Paraphrase the highlighted word: The head of Pembridge Investments, through which the bid"",the,the,Paraphrase the highlighted word: The 63-year-old head of Pembridge,house,the";;;;
"If he had taken his own rule seriously, he would have found out that DRG has a very modest self-service canteen at its Bristol *head* office.,NEWS,['main' 'management' 'central'],""Paraphrase the highlighted word: If he had taken his own rule seriously, he would"",office,office,""Paraphrase the highlighted word: If he had taken his own rule seriously, he would"",food,service";;;;
"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which *part* of the DRG business he would keep after the break up.,NEWS,['division' 'department' 'section' 'portion'],""Paraphrase the highlighted word: There are other things he has, on his own admission,"",part,part,""Paraphrase the highlighted word: There are other things he has not fully investigated, like"",part,part";;;;
"When the bid was launched last week, Mr Franklin *faced* some criticism from City commentators on both those counts.,NEWS,['received' 'addressed'],""Paraphrase the highlighted word: When the bid was launched last week, Mr Franklin *face*"",screamed,received,""Paraphrase the highlighted word: When the bid was launched last week, Mr Franklin faced"",stood,admitted";;;;
He *regards* the charges as unfounded.,NEWS,['sees' 'considers'],Paraphrase the highlighted word: He *regards* the charges as unfounded.,considers,regarded,Paraphrase the highlighted word: `` He considers the charges as unfounded. '',wants,denies;;;;
He regards the *charges* as unfounded.,NEWS,['accusations' 'fees' 'punishment'],Paraphrase the highlighted word: He regards the *charges* as unfounded.,charges,charges,Paraphrase the highlighted word: He regards the charges as unfounded.,accusations,allegations;;;;
